fp_index	fpweed_index	weeding_mo	weeding_wk	weeding_typ	fpweed_id	fpweed_uuid	fpweed_submission_time	fpweed_parent_table_name	fpweed_parent_index	fpweed_tags	fpweed_notes	fpweed_version	fpweed_duration	fpweed_submitted_by
262.0	439	3	3	1				"APS_tz17_fp"	262					
263.0	440	2	1	1				"APS_tz17_fp"	263					
263.0	441	3	1	1				"APS_tz17_fp"	263					
263.0	442	3	4	1				"APS_tz17_fp"	263					
264.0	443	3	4	1				"APS_tz17_fp"	264					
264.0	444	5	3	1				"APS_tz17_fp"	264					
265.0	445	2	4	1				"APS_tz17_fp"	265					
265.0	446	3	4	1				"APS_tz17_fp"	265					
266.0	447	3	1	1				"APS_tz17_fp"	266					
266.0	448	4	1	1				"APS_tz17_fp"	266					
267.0	449	3	1	1				"APS_tz17_fp"	267					
267.0	450	4	2	1				"APS_tz17_fp"	267					
268.0	451	1	3	1				"APS_tz17_fp"	268					
268.0	452	3	1	1				"APS_tz17_fp"	268					
269.0	453	2	1	1				"APS_tz17_fp"	269					
269.0	454	3	3	1				"APS_tz17_fp"	269					
